           flux         loglam           ivar
              E              E              E
                                             
   1.819715E+01   3.611600E+00   2.101741E-01
   1.791052E+01   3.611700E+00   2.168398E-01
   1.890208E+01   3.611800E+00   2.251385E-01
   1.809849E+01   3.611900E+00   2.350040E-01
   1.952904E+01   3.612000E+00   2.335802E-01
   2.398709E+01   3.612100E+00   2.293653E-01
   2.267754E+01   3.612200E+00   2.389000E-01
   1.907508E+01   3.612300E+00   2.432601E-01
   2.247371E+01   3.612400E+00   2.254042E-01
   2.099083E+01   3.612500E+00   2.216795E-01
   2.237353E+01   3.612600E+00   2.241257E-01
   2.161603E+01   3.612700E+00   2.278510E-01
   1.878430E+01   3.612800E+00   2.338646E-01
   1.693758E+01   3.612900E+00   2.407094E-01
   1.983051E+01   3.613000E+00   2.342678E-01
   1.831416E+01   3.613100E+00   2.431892E-01
   1.904650E+01   3.613200E+00   2.465588E-01
   1.992361E+01   3.613300E+00   2.459481E-01
   1.834028E+01   3.613400E+00   2.511037E-01
   1.886872E+01   3.613500E+00   2.572471E-01
   1.603917E+01   3.613600E+00   2.803942E-01
   2.376868E+01   3.613700E+00   2.311777E-01
   2.281309E+01   3.613800E+00   2.177939E-01
   2.242915E+01   3.613900E+00   2.248141E-01
   2.357146E+01   3.614000E+00   2.273433E-01
   2.388206E+01   3.614100E+00   2.306813E-01
   2.355356E+01   3.614200E+00   2.390127E-01
   2.175019E+01   3.614300E+00   2.396453E-01
   2.060613E+01   3.614400E+00   2.407040E-01
   2.321720E+01   3.614500E+00   2.252577E-01
   2.312771E+01   3.614600E+00   2.282465E-01
   1.813781E+01   3.614700E+00   2.477886E-01
   2.515408E+01   3.614800E+00   2.347493E-01
   2.257327E+01   3.614900E+00   2.472271E-01
   2.412965E+01   3.615000E+00   2.477626E-01
   2.152979E+01   3.615100E+00   2.576383E-01
   2.274681E+01   3.615200E+00   2.608859E-01
   2.120686E+01   3.615300E+00   2.629174E-01
   2.183245E+01   3.615400E+00   2.605792E-01
   2.488441E+01   3.615500E+00   2.553853E-01
   2.498174E+01   3.615600E+00   2.593717E-01
   2.430119E+01   3.615700E+00   2.569405E-01
   2.448330E+01   3.615800E+00   2.529959E-01
   2.091273E+01   3.615900E+00   2.558078E-01
   2.421885E+01   3.616000E+00   2.543875E-01
   2.426259E+01   3.616100E+00   2.671571E-01
   2.504823E+01   3.616200E+00   2.623741E-01
   2.930477E+01   3.616300E+00   2.442813E-01
   2.506295E+01   3.616400E+00   2.467276E-01
   2.811543E+01   3.616500E+00   2.326184E-01
   2.831779E+01   3.616600E+00   2.212781E-01
   2.500472E+01   3.616700E+00   2.290481E-01
   2.922121E+01   3.616800E+00   2.299064E-01
   2.746195E+01   3.616900E+00   2.370560E-01
   2.466491E+01   3.617000E+00   2.472773E-01
   2.779570E+01   3.617100E+00   2.338060E-01
   2.947606E+01   3.617200E+00   2.300003E-01
   2.873917E+01   3.617300E+00   2.440792E-01
   2.584266E+01   3.617400E+00   2.668962E-01
   2.542480E+01   3.617500E+00   2.737846E-01
   2.833018E+01   3.617600E+00   2.600902E-01
   2.704691E+01   3.617700E+00   2.605838E-01
   2.383402E+01   3.617800E+00   2.556761E-01
   2.522511E+01   3.617900E+00   2.429966E-01
   2.725478E+01   3.618000E+00   2.286696E-01
   2.594147E+01   3.618100E+00   2.323922E-01
   2.579256E+01   3.618200E+00   2.484421E-01
   2.876629E+01   3.618300E+00   2.482465E-01
   2.573811E+01   3.618400E+00   2.534784E-01
   2.645326E+01   3.618500E+00   2.503144E-01
   2.858180E+01   3.618600E+00   2.416967E-01
   2.814711E+01   3.618700E+00   2.358807E-01
   2.771442E+01   3.618800E+00   2.367504E-01
   2.760128E+01   3.618900E+00   2.418824E-01
   2.936688E+01   3.619000E+00   2.374837E-01
   3.199602E+01   3.619100E+00   2.299274E-01
   3.063645E+01   3.619200E+00   2.307658E-01
   3.515533E+01   3.619300E+00   2.180003E-01
   3.442624E+01   3.619400E+00   2.284773E-01
   3.156293E+01   3.619500E+00   2.429377E-01
   3.273843E+01   3.619600E+00   2.396646E-01
   3.396637E+01   3.619700E+00   2.288781E-01
   3.127451E+01   3.619800E+00   2.180474E-01
   3.274522E+01   3.619900E+00   2.112853E-01
   3.383864E+01   3.620000E+00   2.111536E-01
   3.196552E+01   3.620100E+00   2.331538E-01
   3.116397E+01   3.620200E+00   2.511140E-01
   2.950256E+01   3.620300E+00   2.624797E-01
   2.897058E+01   3.620400E+00   2.714303E-01
   3.050057E+01   3.620500E+00   2.611913E-01
   3.026756E+01   3.620600E+00   2.659817E-01
   2.958783E+01   3.620700E+00   2.687711E-01
   2.644122E+01   3.620800E+00   2.808003E-01
   2.800096E+01   3.620900E+00   2.685820E-01
   3.040252E+01   3.621000E+00   2.467727E-01
   2.748660E+01   3.621100E+00   2.288451E-01
   2.808522E+01   3.621200E+00   2.263000E-01
   2.862413E+01   3.621300E+00   2.529941E-01
   2.127010E+01   3.621400E+00   2.845208E-01
   2.226622E+01   3.621500E+00   3.108228E-01
   2.283336E+01   3.621600E+00   3.175158E-01
   2.579293E+01   3.621700E+00   3.095697E-01
   2.801090E+01   3.621800E+00   2.940458E-01
   2.191413E+01   3.621900E+00   3.116530E-01
   2.286465E+01   3.622000E+00   3.075081E-01
   2.526634E+01   3.622100E+00   3.004755E-01
   2.287256E+01   3.622200E+00   3.089542E-01
   1.984015E+01   3.622300E+00   3.292926E-01
   1.958361E+01   3.622400E+00   3.371009E-01
   2.193374E+01   3.622500E+00   3.180186E-01
   2.356926E+01   3.622600E+00   3.039257E-01
   1.949560E+01   3.622700E+00   3.108184E-01
   1.997578E+01   3.622800E+00   2.913558E-01
   2.000612E+01   3.622900E+00   2.968862E-01
   1.835581E+01   3.623000E+00   3.150366E-01
